,Radius (cm),Weight (grams),Fruit (class),Green,Red,Yellow
0,4.3,122,Pear,1,0,0
1,4.6,152,Pear,1,0,0
2,3.1,85,Apple,1,0,0
3,3.6,173,Pear,1,0,0
4,2.5,65,Lemon,1,0,0
5,2.5,70,Apple,1,0,0
6,2.7,73,Apple,1,0,0
7,4.5,110,Pear,1,0,0
8,2.5,86,Apple,1,0,0
9,2.4,68,Lemon,1,0,0
10,4.2,126,Pear,1,0,0
11,3.7,101,Apple,0,1,0
12,3.7,100,Apple,0,1,0
13,3.4,80,Apple,0,1,0
14,3.2,79,Apple,0,0,1
15,3.1,69,Lemon,0,0,1
16,2.1,64,Apple,0,0,1
17,2.6,58,Lemon,0,0,1
18,2.1,40,Lemon,0,0,1
19,2.3,60,Lemon,0,0,1
20,4.2,105,Pear,0,0,1
21,2.1,40,Lemon,0,0,1
22,3.2,64,Lemon,0,0,1
23,2.9,53,Lemon,0,0,1
24,4.1,135,Pear,0,0,1
25,5.2,142,Pear,0,0,1
26,2.3,60,Lemon,0,0,1
27,0.0,137,Pear,0,0,1
28,3.0,98,Apple,0,0,1
29,2.4,0,Lemon,0,0,1
30,4.1,56,Lemon,0,0,1
31,4.1,80,Apple,0,0,1
32,5.2,141,Pear,0,0,1
33,0.0,135,Pear,0,0,1
34,2.5,0,Apple,1,0,0
